iter	MultiClass
0	1.093694157
1	1.087587117
2	1.083092814
3	1.078220728
4	1.074008487
5	1.068750261
6	1.061300634
7	1.055982091
8	1.050434557
9	1.046113551
10	1.040157215
11	1.035228477112	1.030737042
13	1.027385731
14	1.021890668
15	1.018168857
16	1.014574407
17	1.011432457
18	1.007803874
19	1.003955441
20	0.9997716661
21	0.9956160601
22	0.9910884404
23	0.9885228899
24	0.984315082
25	0.9800291322
26	0.9762608503
27	0.972831746
28	0.9692208672
29	0.965515152
30	0.9624965675
31	0.9596346289
32	0.9574515298
33	0.9534226769
34	0.9509405941
35	0.9481030496
36	0.9446601921
37	0.9410162809
38	0.9378972569
39	0.93489162
40	0.9326562342
41	0.9296632475
42	0.927258051
43	0.9251361577
44	0.922091055
45	0.9200110741
46	0.9176122823
47	0.9142030025
48	0.9112576249
49	0.9082546161
50	0.9050639411
51	0.9025359711
52	0.8996133884
53	0.8975591562
54	0.8940389458
55	0.8916401385656	0.8892005057	57	0.8860176158	58	0.882585355959	0.8798998666060	0.8770888361	61	0.87440062	0.62	0.87180663	0.63	0.8691964	0.864	0.8658065	0.865	0.8639066	0.866	0.8614267	0.867	0.8587468	0.868	0.8563169	0.869	0.8540970	0.870	0.8518771	0.871	0.8494472	0.72	0.84646873	073	0.843691574	74	0.8407552615
75	0.838733376	076	0.836430177	077	0.834908078	078	0.83244779	0.79	0.83021280	080	0.8271706136
81	0.824378299
82	0.8217184483	83	0.819707156
84	0.8168637345
85	0.8139388064
86	0.8116975127
87	0.8095002086
88	0.8064863744
89	0.8037166625
90	0.8015502237
91	0.7990983131
92	0.796240794
93	0.79381176
94	0.7907847988
95	0.7878093451
96	0.7850599853
97	0.7824475507
98	0.7795097249
99	0.7769689159
100	0.7742909065
101	0.7720690229
102	0.7695903049
103	0.7668917749
104	0.7641592981
105	0.7620248403
106	0.7595318121
107	0.7569832702
108	0.7547224287
109	0.7523425752
110	0.749579112
111	0.7473536332
112	0.7443454885
113	0.7419903421
114	0.7396012364
115	0.7369588135
116	0.7345877212
117	0.732422943
118	0.729876277
119	0.727286998
120	0.724991817
121	0.7227882725
122	0.7204805753
123	0.7179463721
124	0.7157941463
125	0.7134294112
126	0.7110498313
127	0.7088468718
128	0.7066672343
129	0.7041750227
130	0.7017365712
131	0.6996664626
132	0.6975944104
133	0.6959569368
